paper_id,region_label,first_author,year,doi,claim_sign,footprint_polygons,stated_study_area,footprint_note
279,Indus,Yahya Sattar,2021,10.1109/icassp39728.2021.9413591,depleting,Bari Doab (Indus Basin); Chaj Doab (Indus Basin); Eastside Lower Indus Valley (Indus Basin); Eastside Middle Indus Plain (Indus Basin); Rechna Doab (Indus Basin); Thal Doab (Indus Basin); Westside Middle Indus Plain (Indus Basin),"Whole Indus River basin, approximated by 44 colatitude-longitude blocks for spatial localization.","PDF pp. 1, 3, Fig. 1. All seven catalogue Indus units are basin components; the paper's 44-block mask also contains areas absent from the cohort. GWS is derived using GLDAS snow/soil removal. Match the combined source mask, not the worst polygon. Same DOI under IDs 233 and 279; the IGP regional tag is misleading and the claim is not independent twice."
291,Mississippi,Matthew Rodell,2006,10.1007/s10040-006-0103-7,no-sign,Central Mississippi Embayment (Mississippi Embayment); Eastern Mississippi Embayment (Mississippi Embayment); Mississippi Delta (Gulf Coast Regional Aquifer System); Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System); Western Mississippi Embayment (Mississippi Embayment),Whole Mississippi River basin and four major drainage sub-basins.,"PDF p. 1, abstract and basin map. All five supplied Mississippi-region aquifer units are relevant components, including Western Embayment, Delta and northern Midwest carbonates. They are not the full drainage mask; basin boundaries may cut aquifer units. GWS validation study, no-sign and excluded from risk."
292,Mississippi,Benjamin F. Zaitchik,2008,10.1175/2007jhm951.1,no-sign,Central Mississippi Embayment (Mississippi Embayment); Eastern Mississippi Embayment (Mississippi Embayment); Mississippi Delta (Gulf Coast Regional Aquifer System); Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System); Western Mississippi Embayment (Mississippi Embayment),"The four major sub-basins of the Mississippi River basin, assimilated separately into a land-surface model.","PDF p. 1, abstract. All five supplied Mississippi-region units provide component coverage; none individually represents the whole basin or four assimilation masks. No-sign: model-skill improvement is not a depletion verdict. No directional risk."
294,Mississippi,T. H. Syed,2005,10.1029/2005gl024851,no-sign,Central Mississippi Embayment (Mississippi Embayment); Eastern Mississippi Embayment (Mississippi Embayment); Mississippi Delta (Gulf Coast Regional Aquifer System); Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System); Western Mississippi Embayment (Mississippi Embayment),Amazon and Mississippi drainage basins; this record concerns the Mississippi basin.,"PDF p. 1, abstract. All five supplied Mississippi-region units are partial coverage of the drainage basin. TWS is used in a total-discharge water balance; the paper does not supply a directional GWS trend in the stored claim. No-sign and excluded from risk."
297,Mississippi,Susanna Werth,2010,10.5194/hess-14-59-2010,no-sign,Central Mississippi Embayment (Mississippi Embayment); Eastern Mississippi Embayment (Mississippi Embayment); Mississippi Delta (Gulf Coast Regional Aquifer System); Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System); Western Mississippi Embayment (Mississippi Embayment),"Twenty-eight large river basins worldwide, including the Mississippi, for global hydrological-model calibration.","PDF p. 1, abstract and basin list. The five polygons represent the Mississippi component of this global calibration record only, not all study areas. No-sign: changes in model storage variability are not directional depletion claims. No risk score."
300,Mississippi,Mehdi Khaki,2020,10.1038/s41598-020-75710-5,no-sign,Central Mississippi Embayment (Mississippi Embayment); Eastern Mississippi Embayment (Mississippi Embayment); Mississippi Delta (Gulf Coast Regional Aquifer System); Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System); Western Mississippi Embayment (Mississippi Embayment),Murray-Darling and Mississippi River basins in a multi-satellite data-assimilation experiment; this record is the Mississippi component.,"PDF p. 2, study-area description. All five catalogue Mississippi-region units provide partial basin coverage. The separate Murray-Darling application should not inherit a Mississippi verdict. No-sign: the stored statement reports improved model prediction, not groundwater depletion."
302,Mississippi,Qiujie Chen,2019,10.1029/2018jb016596,no-sign,Central Mississippi Embayment (Mississippi Embayment); Eastern Mississippi Embayment (Mississippi Embayment); Mississippi Delta (Gulf Coast Regional Aquifer System); Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System); Western Mississippi Embayment (Mississippi Embayment),"Global gravity-solution development, with regional tests over Amazon, Mississippi, Irrawaddy, Taz and Greenland; this record concerns Mississippi.","PDF pp. 1, 21-22, Table 9. All five supplied Mississippi-region units are basin components, not the full validation mask. TWS amplitudes/phases and product comparisons, no directional claim. Tongji solution family is also outside the principal recipe space; do not turn that mismatch into an unconstrained match."
322,Murray,Marc Leblanc,2009,10.1029/2008wr007333,depleting,Central Mallee (Murray Basin); Eastern Riverine Plains (Murray Basin); Ivanhoe Plains (Murray Basin); Northern Mallee (Murray Basin); Northern Riverine Plains (Murray Basin); Southern Mallee (Murray Basin); Southern Riverine Plains (Murray Basin); Western Riverine Plains (Murray Basin); Wimmera Plain (Murray Basin),"Entire Murray-Darling drainage basin in southeast Australia, approximately one million km2.","PDF pp. 1-2, Fig. 1. The nine listed units provide southern Murray-basin coverage, not the full Murray-Darling catchment. Exclude the coastal Lower Limestone Coast unit from a drainage-basin match. Combine relevant source-overlapping areas, not the worst unit. Stored ~140 km3 loss is TWS during August 2002-December 2006, whereas the registry extends to April 2008. Drought loss is not a full-window GWS slope."
323,Murray,Maike Schumacher,2017,10.1016/j.rse.2017.10.029,depleting,Central Mallee (Murray Basin); Eastern Riverine Plains (Murray Basin); Ivanhoe Plains (Murray Basin); Northern Mallee (Murray Basin); Northern Riverine Plains (Murray Basin); Southern Mallee (Murray Basin); Southern Riverine Plains (Murray Basin); Western Riverine Plains (Murray Basin); Wimmera Plain (Murray Basin),"Entire Murray-Darling basin, split into four large sub-basins for GRACE assimilation and hydrological-model calibration.","PDF section 2 and Fig. 1. The nine listed units provide southern Murray-basin coverage, not the full Murray-Darling catchment. Exclude the coastal Lower Limestone Coast unit from a drainage-basin match. Combine relevant source-overlapping areas, not the worst unit. IMPORTANT: the stored 104 km3/2003-2007 quotation is a background result attributed to Leblanc et al. (2009) in the introduction (PDF p. 5), not this paper's independent estimate for its 2003-2010 window. Preserve classification here but review before risk scoring."
326,Murray,Daniel Rieser,2010,10.1080/08120099.2010.512645,depleting,Central Mallee (Murray Basin); Eastern Riverine Plains (Murray Basin); Ivanhoe Plains (Murray Basin); Lower Limestone Coast Aquifer System (Murray Basin); Northern Mallee (Murray Basin); Northern Riverine Plains (Murray Basin); Southern Mallee (Murray Basin); Southern Riverine Plains (Murray Basin); Western Riverine Plains (Murray Basin); Wimmera Plain (Murray Basin),"All Australia, with particular examination of declining water storage in the southeast, including the Murray-Darling basin.","PDF p. 2, abstract; trend/significance maps. Continental/southeastern TWS analysis, not groundwater-only. All ten supplied Murray-region units lie in the broad southeastern study area, including the coastal unit that is not part of the MDB drainage basin. The cohort units cover only part of the reported region; do not reduce it to Southern Riverine Plains."
328,Murray,Nicholas Brown,2010,10.1080/08120091003619241,no-sign,Central Mallee (Murray Basin); Eastern Riverine Plains (Murray Basin); Ivanhoe Plains (Murray Basin); Northern Mallee (Murray Basin); Northern Riverine Plains (Murray Basin); Southern Mallee (Murray Basin); Southern Riverine Plains (Murray Basin); Western Riverine Plains (Murray Basin); Wimmera Plain (Murray Basin),"Murray-Darling drainage basin, assessing contamination from geophysical signals outside the basin.","PDF p. 2, abstract. The nine listed units provide southern Murray-basin coverage, not the full Murray-Darling catchment. Exclude the coastal Lower Limestone Coast unit from a drainage-basin match. Combine relevant source-overlapping areas, not the worst unit. No-sign: the claim concerns validity/contamination of GRACE hydrological signals, not a signed storage trend. Excluded from directional risk."
329,Murray,Maike Schumacher,2016,"",depleting,Central Mallee (Murray Basin); Eastern Riverine Plains (Murray Basin); Ivanhoe Plains (Murray Basin); Northern Mallee (Murray Basin); Northern Riverine Plains (Murray Basin); Southern Mallee (Murray Basin); Southern Riverine Plains (Murray Basin); Western Riverine Plains (Murray Basin); Wimmera Plain (Murray Basin),"Murray-Darling drainage basin application in thesis section 8.2, divided into four large assimilation sub-basins; a separate chapter studies Mississippi.","Thesis PDF pp. 131, 143-147, Figs. 8.8-8.10. The nine listed units provide southern Murray-basin coverage, not the full Murray-Darling catchment. Exclude the coastal Lower Limestone Coast unit from a drainage-basin match. Combine relevant source-overlapping areas, not the worst unit. Stored depletion refers to Millennium Drought TWS introduced/intensified through model calibration/assimilation in 2003-2009. It is not a standalone groundwater slope or a Mississippi result."
341,Murray,Maike Schumacher,2025,10.1038/s41598-025-01938-8,depleting,Central Mallee (Murray Basin); Eastern Riverine Plains (Murray Basin); Ivanhoe Plains (Murray Basin); Northern Mallee (Murray Basin); Northern Riverine Plains (Murray Basin); Southern Mallee (Murray Basin); Southern Riverine Plains (Murray Basin); Western Riverine Plains (Murray Basin); Wimmera Plain (Murray Basin),"Entire Murray-Darling basin, approximately 1,060,000 km2, with separate spatial patterns in Murray and Darling.","PDF p. 1, abstract and Fig. 1. The nine listed units provide southern Murray-basin coverage, not the full Murray-Darling catchment. Exclude the coastal Lower Limestone Coast unit from a drainage-basin match. Combine relevant source-overlapping areas, not the worst unit. The stored 17% is an attributed irrigation-extraction impact, not a signed full-window linear trend. The study explicitly describes both drying and wetting periods; verify a directional claim before risk scoring. Classification left unchanged."
337,Murray,Stefanie Schmid,2010,10.18419/opus-3838,depleting,Central Mallee (Murray Basin); Eastern Riverine Plains (Murray Basin); Ivanhoe Plains (Murray Basin); Northern Mallee (Murray Basin); Northern Riverine Plains (Murray Basin); Southern Mallee (Murray Basin); Southern Riverine Plains (Murray Basin); Western Riverine Plains (Murray Basin); Wimmera Plain (Murray Basin),"Murray-Darling drainage basin, with comparisons of northern and southern hydrological regimes.","Thesis abstract and study maps. The nine listed units provide southern Murray-basin coverage, not the full Murray-Darling catchment. Exclude the coastal Lower Limestone Coast unit from a drainage-basin match. Combine relevant source-overlapping areas, not the worst unit. The stored claim identifies the 2006/2007 drought, not necessarily a monotonic May 2003-April 2009 GWS decline. Total hydrological mass and drought-event timing must be matched."
339,Murray,Marc Leblanc,2008,"",depleting,Central Mallee (Murray Basin); Eastern Riverine Plains (Murray Basin); Ivanhoe Plains (Murray Basin); Northern Mallee (Murray Basin); Northern Riverine Plains (Murray Basin); Southern Mallee (Murray Basin); Southern Riverine Plains (Murray Basin); Western Riverine Plains (Murray Basin); Wimmera Plain (Murray Basin),"Whole Murray-Darling drainage basin, approximately one million km2, during August 2002-July 2007.","One-page EGU abstract. The nine listed units provide southern Murray-basin coverage, not the full Murray-Darling catchment. Exclude the coastal Lower Limestone Coast unit from a drainage-basin match. Combine relevant source-overlapping areas, not the worst unit. The ~100 km3 loss is total water mass, with groundwater attributed about 70% of the drought loss. CNES/GRGS 10-day degree-50 solutions require method-specific treatment, not automatic wildcard compatibility."
