paper_id,region,in_cohort,oa_id,file,doi,title,first_author,year,venue,citations,is_seed,grace_role,mission,paper_category,centre,release,filter,truncation,gia_model,c20,c30,geocenter,c20_c30,depletion_claim,regions_studied,n_quotes,n_quotes_verified,model,extraction_error,fulltext_reextract
115,high_plains,True,W4386378975,48,10.1029/2023gl103419,"Monitoring Terrestrial Water Storage, Drought and Seasonal Changes in Central Oklahoma With Ambient Seismic Noise",Shuo Zhang,2023,Geophysical Research Letters,24,no,uses-published-TWS,GRACE+GRACE-FO,downstream-use,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,central Oklahoma,0,0,deepseek-chat,,
116,high_plains,True,W2297826855,05,10.1002/2015wr018085,Comment on “Quantifying renewable groundwater stress with GRACE” by Alexandra S. Richey et al.,Sasmita Sahoo,2016,Water Resources Research,17,no,review-or-perspective,unclear,review,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,High Plains aquifer,0,0,deepseek-chat,,
117,high_plains,True,W2897929979,24,10.1029/2018wr022723,"Hydrologic Observation, Model, and Theory Congruence on Evapotranspiration Variance: Diagnosis of Multiple Observations and Land Surface Models",Ruijie Zeng,2018,Water Resources Research,13,no,uses-published-TWS,GRACE,downstream-use,CSR,RL05,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,contiguous United States; Central Valley; High Plains aquifers,2,2,deepseek-chat,,
118,high_plains,True,W3043677445,06,10.3390/rs12142257,Inspecting the Food–Water Nexus in the Ogallala Aquifer Region Using Satellite Remote Sensing Time Series,Yuting Zhou,2020,Remote Sensing,7,no,uses-mascon-product,GRACE+GRACE-FO,mascon,"CSR, JPL",RL06,mascon,unclear,unclear,unclear,unclear,unclear,unclear,overall annual average TWS for the Ogallala Aquifer was −0.60 cm/year,Ogallala Aquifer Region,3,1,deepseek-chat,,
119,high_plains,True,W2297659267,07,10.1002/2015wr018329,Reply to comment by Sahoo et al. on “Quantifying renewable groundwater stress with GRACE”,A. Richey,2016,Water Resources Research,5,no,uses-published-TWS,GRACE,downstream-use,JPL,RL05,unclear,unclear,unclear,unclear,unclear,unclear,unclear,near zero trend,High Plains Aquifer,2,2,deepseek-chat,,
120,high_plains,True,W4376573522,12,10.1111/1752-1688.13133,Temporal trends in agricultural water use and the relationships to hydroclimatic factors in the High Plains aquifer region,Lei Ji,2023,JAWRA Journal of the American Water Resources Association,4,no,uses-published-TWS,GRACE+GRACE-FO,downstream-use,JPL,RL06,unclear,unclear,unclear,unclear,unclear,unclear,unclear,"EWTa trends: NHP +6.16 mm/yr, CHP -3.50 mm/yr, SHP -6.94 mm/yr",High Plains aquifer; Northern High Plains; Central High Plains; Southern High Plains,2,1,deepseek-chat,,
121,high_plains,True,W2971369349,31,10.1111/1752-1688.12798,Recent Ogallala Aquifer Region Drought Conditions as Observed by Terrestrial Water Storage Anomalies from GRACE,Yongjun Zhang,2019,JAWRA Journal of the American Water Resources Association,4,no,processes-L2-SHM,GRACE,own-SHM,CSR,RL05,unclear,60,unclear,unclear,unclear,unclear,unclear,"worst drought conditions occurred in September 2012, with an average TWS deficit of ~8 cm in the northern OAR and ~11 cm in the southern OAR",Ogallala Aquifer region (OAR); northern OAR; southern OAR,3,2,deepseek-chat,,
122,high_plains,True,W3083549141,28,10.1080/24694452.2020.1782724,Language and Groundwater: Symbolic Gradients of the Anthropocene,Paul C. Adams,2020,Annals of the American Association of Geographers,3,no,does-not-use-grace,unclear,non-GRACE,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Texas portion of the Ogallala aquifer,0,0,deepseek-chat,,
123,high_plains,True,W2042896897,39,10.5194/isprsarchives-xl-8-329-2014,Estimation of regional mass anomalies from Gravity Recovery and Climate Experiment (GRACE) over Himalayan region,Ritesh Agrawal,2014,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences",3,no,uses-mascon-product,GRACE,mascon,CSR,unclear,mascon,unclear,unclear,unclear,unclear,unclear,unclear,Ganga and Brahmaputra basins have shown an average annual change of -1.28 cm and -1.06 cm in terms of WEH,Indus basin; Ganga basin; Brahmaputra basin,2,1,deepseek-chat,,
124,high_plains,True,W2622671957,25,,Groundwater Management Using Remotely Sensed Data in High Plains Aquifer,Davood Ghasemian,2016,UA Campus Repository (The University of Arizona),1,no,uses-published-TWS,GRACE,downstream-use,JPL,RL05,unclear,unclear,unclear,replaced (e.g. with SLR / TN-14),unclear,unclear,replaced (e.g. with SLR / TN-14)/unclear,,High Plains Aquifer,3,3,deepseek-chat,,
127,high_plains,True,W7144123599,27,10.1029/2025ef006653,Freshwater Availability in the Mississippi River Basin and Adjacent Texas Aquifers Under Human and Climate Pressures,Ashraf Rateb,2026,Earth s Future,0,no,uses-mascon-product,GRACE+GRACE-FO,mascon,"CSR, JPL, GSFC",RL06.03,mascon,unclear,ICE-6G_C (VM5a),replaced with SLR,replaced with SLR,Sun 2016; Swenson 2008,replaced with SLR/replaced with SLR,GRACE‐based TWSA indicates net losses of 85 ± 15 km3 since 2002 in the arid western MRB–TX,Mississippi River Basin; Texas aquifers; Central and Southern High Plains; Carrizo–Wilcox; Northern Great Plains; Great Lakes; Northern High Plains; Edwards–Trinity Plateau; Ozark Plateau; Mississippi Embayment Regional Aquifer System (MERAS); Coastal Lowland; Cambrian–Ordovician; Pennsylvanian; Texas Gulf Coast,7,7,deepseek-chat,,
128,high_plains,True,W2800075117,29,,Assessing characterization of large-scale groundwater quality with remote sensing,Aimée Gibbons,2016,eScholarship (California Digital Library),0,no,uses-published-TWS,GRACE,downstream-use,CSR,RL05,G300,unclear,unclear,unclear,unclear,unclear,unclear,,Central Valley; High Plains,3,1,deepseek-chat,,
130,high_plains,True,W7110702704,W7110702704,,"Assessing the impact of hydraulic fracturing on groundwater availability for food production in the Southern Great Plains, USA","Olusanya, Adeyinka",2025,SHAREOK (University of Oklahoma; Oklahoma State University; Central Oklahoma University),0,no,uses-mascon-product,GRACE,mascon,,,mascon,,,,,,unclear/unclear,groundwater storage declined at a rate of approximately -0.0899 cm per year in West Texas (2013-2023),Southern Great Plains; Ogallala Aquifer; Texas; Oklahoma; Kansas; Permian Basin; Eagle Ford Shale; Anadarko Basin,1,0,deepseek-chat (full-text 2026 round2),,yes
131,igp,True,W2000674771,01,10.1038/nature08238,Satellite-based estimates of groundwater depletion in India,Matthew Rodell,2009,Nature,2845,yes,processes-L2-SHM,GRACE,own-SHM,CSR,unclear,Swenson-Wahr destriping,60,Paulson et al. (2007),replaced (e.g. with SLR / TN-14),unclear,unclear,replaced (e.g. with SLR / TN-14)/unclear,groundwater depletion at a mean rate of 4.0 ± 1.0 cm yr⁻¹ equivalent height of water (17.7 ± 4.5 km³ yr⁻¹),Rajasthan; Punjab; Haryana,5,2,deepseek-chat,,
132,igp,True,W1982546148,02,10.1038/nclimate2425,The global groundwater crisis,J. S. Famiglietti,2014,Nature Climate Change,1799,yes,uses-published-TWS,GRACE,downstream-use,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,groundwater depletion the world over poses a far greater threat to global water security than is currently acknowledged,Northwest Sahara; California Central Valley; High Plains (Ogallala); Guarani; Northern Middle East; Arabian; Northwestern India; North China Plain; Canning Basin,0,0,deepseek-chat,,
133,igp,True,W1971918252,03,10.1029/2009gl039401,"Dwindling groundwater resources in northern India, from satellite gravity observations",V. M. Tiwari,2009,Geophysical Research Letters,817,yes,processes-L2-SHM,GRACE,own-SHM,CSR,unclear,Swenson-Wahr destripe + G250,60,unclear,unclear,unclear,unclear,unclear,groundwater loss at a rate of 54 ± 9 km3/yr,northern India; Pakistan; Bangladesh; Nepal,3,2,deepseek-chat,,
134,igp,True,W2061903993,49,10.1002/2014wr015595,Global‐scale assessment of groundwater depletion and related groundwater abstractions: Combining hydrological modeling with information from well observations and GRACE satellites,Petra Döll,2014,Water Resources Research,808,no,processes-L2-SHM,GRACE,own-SHM,multiple,RL05,DDK3,unclear,unclear,replaced,unclear,replaced,replaced/unclear,global GWD of 113 km3/yr during 2000–2009,High Plains Aquifer; Central Valley Aquifer; Western Volcanic Systems; Western Alluvial Basins; Deep confined bedrock aquifers; Gulf Coastal Plain; Atlantic Coastal Plain; Mississippi basin; Three-states region (Northern India); Tiwari study region; Jacob study region; Bangladesh; Irrigated Indus basin; North China Plain; Hai river basin; Saudi Arabia; Tigris-Euphrates-Western Iran (TEWI); Nubian sandstone aquifer system; North Western Sahara aquifer system,5,4,deepseek-chat,,
135,igp,True,W2568836777,04,10.1038/ngeo2869,Relative contribution of monsoon precipitation and pumping to changes in groundwater storage in India,Akarsh Asoka,2017,Nature Geoscience,524,yes,uses-published-TWS,GRACE,downstream-use,CSR,RL05,G300,unclear,unclear,unclear,unclear,unclear,unclear,groundwater storage has declined in northern India at the rate of 2 cm yr−1 and increased by 1 to 2 cm yr−1 in southern India between 2002 and 2013,India; north India; south India; northwest India; north-central India,3,0,deepseek-chat,,
136,igp,True,W2803686615,128,10.3390/rs10060829,Monitoring Groundwater Storage Changes Using the Gravity Recovery and Climate Experiment (GRACE) Satellite Mission: A Review,Frédéric Frappart,2018,Remote Sensing,316,no,review-or-perspective,GRACE,review,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Middle East; northwest India aquifer; North China Plain aquifer; Murray-Darling Basin; High Plains aquifer; California Central Valley aquifer; Northwestern Sahara Aquifer System; Nubian Sandstone Aquifer System; Tigris and Euphrates River Basin; Northern India; North China; Hai River; Piedmont Plain; East Central Plain; Canning; Sacramento and San Joaquin River Basins; Colorado River Basin,0,0,deepseek-chat,,
137,igp,True,W2338161951,32,10.1038/srep24398,Have GRACE satellites overestimated groundwater depletion in the Northwest India Aquifer?,Di Long,2016,Scientific Reports,277,no,processes-L2-SHM,GRACE,own-SHM,CSR,RL05,G300,60,unclear,unclear,unclear,unclear,unclear,3.1 ± 0.1 cm/a (or 14 ± 0.4 km3/a) for Jan 2005–Dec 2010,Northwest India Aquifer,4,4,deepseek-chat,,
138,igp,True,W1981130750,12,10.1016/j.gloplacha.2014.02.007,Long-term groundwater variations in Northwest India from satellite gravity measurements,Jianli Chen,2014,Global and Planetary Change,270,no,processes-L2-SHM,GRACE,own-SHM,CSR,RL05,Swenson-Wahr destripe + G500,60,A et al. (2013),replaced with SLR,unclear,Swenson 2008 (seasonal),replaced with SLR/unclear,20.4 ± 7.1 Gt/yr over 10 years,Northwest India; Punjab Province of Pakistan,7,2,deepseek-chat,,
139,igp,True,W1646523040,45,10.1029/2011wr010993,Monitoring groundwater storage changes in the highly seasonal humid tropics: Validation of GRACE measurements in the Bengal Basin,Mohammad Shamsudduha,2012,Water Resources Research,241,no,processes-L2-SHM,GRACE,own-SHM,"CSR, GRGS",multiple: CSR Release 04; GRGS RL02,G300,60,unclear,unclear,unclear,unclear,unclear,groundwater depletion estimated from borehole hydrographs (−0.52 ± 0.30 km³ yr⁻¹) is within the range of satellite-derived estimates (−0.44 to −2.04 km³ yr⁻¹),Bengal Basin,4,2,deepseek-chat,,
140,igp,True,W4224002797,69,10.1007/s13201-022-01652-0,Impact of climate change on groundwater hydrology: a comprehensive review and current status of the Indian hydrogeology,Sabyasachi Swain,2022,Applied Water Science,203,no,review-or-perspective,GRACE+GRACE-FO,review,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,India,0,0,deepseek-chat,,
141,igp,True,W2995007302,61,10.1029/2019wr026284,Integrated Drought Index (IDI) for Drought Monitoring and Assessment in India,Deep Shah,2019,Water Resources Research,201,no,uses-published-TWS,GRACE,downstream-use,unclear,RL05,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Sabarmati River Basin; Brahmani River Basin,1,0,deepseek-chat,,
142,igp,True,W2548901601,79,10.1016/j.jhydrol.2016.10.042,Validation of GRACE based groundwater storage anomaly using in-situ groundwater level measurements in India,Soumendra N. Bhanja,2016,Journal of Hydrology,192,no,uses-published-TWS,GRACE,downstream-use,multiple,RL05,G300,unclear,Geruo_ICE5G_VM2,replaced,unclear,Swenson 2008,replaced/unclear,,Indus Basin (Indian part); Ganges Basin (Indian part); Brahmaputra Basin (Indian part); Godavari Basin; Krishna Basin; Cauvery Basin; Mahanadi Basin; Narmada Basin; Tapi Basin; West flowing rivers South of Tapi Basin; East flowing rivers between Pennar and Cauvery Basin; West flowing rivers of Kutch and Saurashtra including Luni Basin,6,2,deepseek-chat,,
143,igp,True,W2555491613,99,10.1002/2016gl071407,On the frequency of the 2015 monsoon season drought in the Indo‐Gangetic Plain,Vimal Mishra,2016,Geophysical Research Letters,180,no,uses-published-TWS,GRACE,downstream-use,JPL,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,2 year cumulative deficit of 51% in the Indo-Gangetic Plain,Indo-Gangetic Plain; India,1,1,deepseek-chat,,
144,igp,True,W2557321466,62,10.1175/jhm-d-16-0047.1,Characterizing Drought in India Using GRACE Observations of Terrestrial Water Storage Deficit,Debanjan Sinha,2016,Journal of Hydrometeorology,128,no,processes-L2-SHM,GRACE,own-SHM,CSR,RL05,G300 + destripe,60,unclear,unclear,unclear,unclear,unclear,highest peak deficit of 2158.00 mm observed in January 2015 over central India,peninsular India; west-central India; northwestern India; central India,4,3,deepseek-chat,,
145,igp,True,W3197848683,50,10.3390/rs13173513,Improving the Resolution of GRACE Data for Spatio-Temporal Groundwater Storage Assessment,Shoaib Ali,2021,Remote Sensing,126,no,uses-published-TWS,GRACE,downstream-use,multiple,RL05,Gaussian,60,unclear,unclear,unclear,unclear,unclear,lost GWS of about -9.54 ± 1.27 km3 at the rate of -0.68 ± 0.09 km3/year from 2003 to 2016,Indus basin irrigation system (IBIS),4,4,deepseek-chat,,
146,igp,True,W3010984228,92,10.1016/j.gsd.2020.100376,Integrated study of GRACE data derived interannual groundwater storage variability over water stressed Indian regions,Tandrila Sarkar,2020,Groundwater for Sustainable Development,118,no,processes-L2-SHM,GRACE,own-SHM,JPL,RL05,Swenson-Wahr destripe + G300,unclear,unclear,unclear,unclear,unclear,unclear,"maximum groundwater storage change by -7.52 cm/year in Delhi, northern Uttar Pradesh and some parts of Haryana",India; Delhi; Meerut; Dehradun; Chandigarh; Punjab; Haryana; Uttar Pradesh; Kolkata; Mumbai; Chennai; Bengaluru,3,1,deepseek-chat,,
147,igp,True,W2791403504,100,10.1016/j.jhydrol.2018.02.005,"Prediction of GWL with the help of GRACE TWS for unevenly spaced time series data in India : Analysis of comparative performances of SVR, ANN and LRM",Amritendu Mukherjee,2018,Journal of Hydrology,103,no,uses-published-TWS,GRACE,downstream-use,JPL,RL05,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,India,2,2,deepseek-chat,,
148,igp,True,W2291436080,34,10.1002/2015wr018113,Exploring the influence of precipitation extremes and human water use on total water storage (TWS) changes in the <scp>G</scp>anges‐<scp>B</scp>rahmaputra‐<scp>M</scp>eghna River Basin,Khandu,2016,Water Resources Research,101,no,processes-L2-SHM,GRACE,own-SHM,multiple,RL05,DDK2,unclear,unclear,replaced,unclear,replaced,replaced/unclear,TWS decline of 12.2 ± 3.4 km³/yr in Ganges and 9.1 ± 2.7 km³/yr in Brahmaputra-Meghna (2002–2014),Ganges-Brahmaputra-Meghna River Basin; Ganges River Basin; Brahmaputra-Meghna River Basin,5,5,deepseek-chat,,
149,igp,True,W4280509258,21,10.1016/j.scitotenv.2022.156044,Combining downscaled-GRACE data with SWAT to improve the estimation of groundwater storage and depletion variations in the Irrigated Indus Basin (IIB),Arfan Arshad,2022,The Science of The Total Environment,90,no,uses-published-TWS,GRACE+GRACE-FO,downstream-use,JPL,RL05,scaling factor,unclear,unclear,unclear,unclear,unclear,unclear,total loss of groundwater reserves varied in the IIB's 55 canal command areas with the highest loss observed in Dehli Doab by >50 km3,Irrigated Indus Basin (IIB); Dehli Doab; BIST Doab; BARI Doab; JECH Doab; RACHNA Doab; Sindh Saghar; LIB,3,2,deepseek-chat,,
150,igp,True,W4200025572,63,10.1016/j.jhydrol.2021.127315,Estimation of spatio-temporal groundwater storage variations in the Lower Transboundary Indus Basin using GRACE satellite,Shoaib Ali,2021,Journal of Hydrology,84,no,uses-mascon-product,GRACE,mascon,multiple,RL05,mascon,unclear,unclear,unclear,unclear,unclear,unclear,4.16 ± 0.26 mm per year (2.97 ± 0.19 km3 per year),Lower Transboundary Indus Basin,3,2,deepseek-chat,,
151,igp,True,W2972365774,38,10.5194/esd-11-755-2020,Groundwater storage dynamics in the world's large aquifer systems from GRACE: uncertainty and role of extreme precipitation,Mohammad Shamsudduha,2020,Earth System Dynamics,83,no,uses-mascon-product,GRACE,mascon,multiple,RL05,mascon,unclear,unclear,unclear,unclear,unclear,unclear,"non-linear trends; linear declining trends in only two aquifer systems (Arabian, Canning)",Nubian Sandstone Aquifer System; Northwestern Sahara Aquifer System; Murzuk–Djado Basin; Taoudeni–Tanezrouft Basin; Senegal–Mauritanian Basin; Iullemmeden–Irhazer Aquifer System; Lake Chad Basin; Umm Ruwaba Aquifer (Sudd Basin); Ogaden–Juba Basin; Congo Basin; Upper Kalahari–Cuvelai–Zambezi Basin; Lower Kalahari–Stampriet Basin; Karoo Basin; Northern Great Plains Aquifer; Cambro-Ordovician Aquifer System; California Central Valley Aquifer System; Ogallala Aquifer (High Plains); Atlantic and Gulf Coastal Plains Aquifer; Amazon Basin; Maranhão Basin; Guarani Aquifer System (Paraná Basin); Arabian Aquifer System; Indus River Basin; Ganges–Brahmaputra Basin; West Siberian Artesian Basin; Tunguss Basin; Angara–Lena Basin; Yakut Basin; North China Plains Aquifer System; Songliao Plain; Tarim Basin; Paris Basin; East European Aquifer System; North Caucasus Basin; Pechora Basin; Great Artesian Basin; Canning Basin,3,1,deepseek-chat,,
152,igp,True,W2630636919,26,10.5194/hess-21-3041-2017,Water–food–energy nexus with changing agricultural scenarios in India during recent decades,Beas Barik,2017,Hydrology and earth system sciences,80,no,processes-L2-SHM,GRACE,own-SHM,CSR,RL05,G300+destripe,60,unclear,unclear,unclear,unclear,unclear,statistically significant declining trend of groundwater storage in India during the last decade,India; north-western India; middle Ganga basin; western-central India,4,2,deepseek-chat,,
153,igp,True,W1834701122,93,10.1016/j.gloplacha.2015.09.007,Diagnosing Land Water Storage Variations in Major Indian River Basins using GRACE observations,Aarti Soni,2015,Global and Planetary Change,71,no,processes-L2-SHM,GRACE,own-SHM,CSR,RL05,G200,60,unclear,unclear,unclear,unclear,unclear,groundwater storage decline in Ganga basin at -1.28 ± 0.20 mm/month,Ganga; Godavari; Krishna; Mahanadi,4,3,deepseek-chat,,
154,igp,True,W3130269368,101,10.1016/j.jhydrol.2021.126069,"Synergetic application of GRACE gravity data, global hydrological model, and in-situ observations to quantify water storage dynamics over Peninsular India during 2002–2017",Abhishek Abhishek,2021,Journal of Hydrology,64,no,processes-L2-SHM,GRACE,own-SHM,"CSR, JPL, GFZ",RL06,"mascon, fan filter 250 km",60,unclear,replaced with SLR,unclear,geo-center corrections,replaced with SLR/unclear,"Krishna River Basin experienced the largest decrease in TWS and GWS with −30.95 mm yr−1 and −20.18 mm yr−1, respectively",Godavari River Basin; Krishna River Basin; Mahanadi River Basin,6,3,deepseek-chat,,
155,igp,True,W2203575519,W2203575519,10.1002/2015gl066616,"Influence of anthropogenic groundwater unloading in Indo‐Gangetic plains on the 25 April 2015 Mw 7.8 Gorkha, Nepal earthquake",Bhaskar Kundu,2015,Geophysical Research Letters,60,no,uses-published-TWS,GRACE,downstream-use,,,,,,,,,unclear/unclear,"groundwater depletion rate of 17.7 ± 4.5 km3yr−1 over Rajasthan, Punjab, and Haryana; 54 ± 9 km3yr−1 for Indus, Ganga, Brahmaputra basins",Indo-Gangetic plains; Ganga basin; Himalayan arc,0,0,deepseek-chat (full-text 2026 round2),,yes
156,igp,True,W2025484444,94,10.1073/pnas.1207346109,Recent changes of the Earth’s core derived from satellite observations of magnetic and gravity fields,Mioara Mandéa,2012,Proceedings of the National Academy of Sciences,58,no,uses-published-TWS,GRACE,downstream-use,CNES/GRGS,release 2,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Large African Box (LAB) area,2,2,deepseek-chat,,
157,igp,True,W3204737793,35,10.1088/1748-9326/ac2ceb,Natural and anthropogenic drivers of the lost groundwater from the Ganga River basin,Swarup Dangar,2021,Environmental Research Letters,56,no,uses-mascon-product,GRACE,mascon,"CSR, JPL",RL06,mascon,unclear,unclear,unclear,unclear,unclear,unclear,226.57 ± 25.22 km3 groundwater lost during 2002–2016,Ganga River basin,3,2,deepseek-chat,,
158,igp,True,W2908659848,24,10.1016/j.ijdrr.2019.101068,Spatio-temporal changes in terrestrial water storage in the Himalayan river basins and risks to water security in the region: A review,Mohammad Shamsudduha,2019,International Journal of Disaster Risk Reduction,54,no,uses-published-TWS,GRACE,downstream-use,CSR,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,northern India has lost approximately 109 km3 of groundwater between 2002 and 2008,Himalayan river basins; Ganges; Brahmaputra; Meghna; Indus; Irrawaddy; Indo-Gangetic Basin,1,1,deepseek-chat,,
159,igp,True,W3000329065,39,10.5194/esd-11-775-2020,Climate–groundwater dynamics inferred from GRACE and the role of hydraulic memory,Simon Opie,2020,Earth System Dynamics,52,no,uses-mascon-product,GRACE,mascon,JPL,RL05M,mascon,unclear,unclear,unclear,unclear,unclear,unclear,,Senegal–Mauritanian Basin; Umm Ruwaba aquifer; Congo Basin; Upper Kalahari–Cavelai–Zambezi Basin; Karoo Basin; California Central Valley aquifer system; Amazon Basin; Maranhão Basin; Guarani aquifer (Parana Basin); Indus River Basin; Ganges–Brahmaputra Basin; North China Plain aquifer system; Great Artesian Basin; Canning Basin,3,2,deepseek-chat,,
160,igp,True,W2999867583,80,10.1080/02626667.2020.1716238,Groundwater storage change detection from in situ and GRACE-based estimates in major river basins across India,Soumendra N. Bhanja,2020,Hydrological Sciences Journal,51,no,processes-L2-SHM,GRACE,own-SHM,"multiple: CSR, JPL and GFZ",RL05,G300,unclear,Geruo_ICE5G_VM2,replaced,unclear,Swenson 2008,replaced/unclear,"Ganges and Brahmaputra basins lost groundwater at rates of -1.02 and -0.40 km3/year, respectively, based on in situ observations",Ganges; Brahmaputra; Indus; Godavari; Krishna; West flowing rivers of Kutch and Saurashtra including Luni basin; Mahanadi; West flowing rivers south of Tapi basin; Narmada; Cauvery; Tapi; East flowing rivers between Pennar and Cauvery basins; Pennar; Brahmani and Baitarni; East flowing rivers between Mahanadi and Godavari basins; Barak and other basins; East flowing rivers south of Cauvery basin; Mahi; Sabarmati basin; Subarnarekha basin; East flowing rivers between Krishna and Pennar basins; East flowing rivers between Godavari and Krishna basins,6,4,deepseek-chat,,
161,igp,True,W2944797764,113,10.1007/s12040-019-1148-z,ENSO-induced groundwater changes in India derived from GRACE and GLDAS,Naresh Krishna Vissa,2019,Journal of Earth System Science,48,no,uses-published-TWS,GRACE,downstream-use,JPL,RL05,unclear,unclear,unclear,unclear,unclear,unclear,unclear,groundwater depletion of ~1.6 cm/yr in northern India,India,2,2,deepseek-chat,,
162,igp,True,W2672856063,114,10.1038/s41598-017-04159-w,Terrestrial water load and groundwater fluctuation in the Bengal Basin,W. G. Burgess,2017,Scientific Reports,43,no,uses-published-TWS,GRACE,downstream-use,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Bengal Basin; Ganges-Brahmaputra-Meghna (GBM) floodplains,0,0,deepseek-chat,,
163,igp,True,W3127467826,115,10.1016/j.gsd.2021.100559,"The appraisal of groundwater storage dwindling effect, by applying high resolution downscaling GRACE data in and around Mehsana district, Gujarat, India",Anuradha Karunakalage,2021,Groundwater for Sustainable Development,42,no,uses-mascon-product,GRACE+GRACE-FO,mascon,multiple,RL06,G300,unclear,unclear,unclear,unclear,unclear,unclear,"−60.33±5.00 mm/year and −80.00±6.12 mm/year from downscaled GRACE SH and JPL mascon, respectively","Mehsana district, Gujarat, India; Northern Gujarat",3,0,deepseek-chat,,
164,igp,True,W3109950241,81,10.1029/2019jb018892,High‐Resolution GRACE Monthly Spherical Harmonic Solutions,Qiujie Chen,2020,Journal of Geophysical Research Solid Earth,42,no,processes-L2-SHM,GRACE,own-SHM,Tongji,unclear,none,180,Peltier_ICE6G_D,replaced,unclear,Swenson 2008,replaced/unclear,,India; Northwest India; Rajasthan; Amazon River basin; Ob River basin; Mississippi River basin; Mekong River basin; Orange River basin; Greenland; Antarctica Peninsula; Patagonia,6,6,deepseek-chat,,
165,igp,True,W4295901299,22,10.1038/s41598-022-18511-2,Drought characterization over Indian sub-continent using GRACE-based indices,Shivam Rawat,2022,Scientific Reports,41,no,uses-mascon-product,GRACE,mascon,JPL,RL06,mascon,unclear,unclear,unclear,unclear,unclear,unclear,TWS is depleting for most of the subbasins in India,Indian sub-continent; Ganga; Indus; Brahmaputra; Godavari; Krishna; Cauvery; Mahanadi; Sabarmati; Narmada; Tapi,3,3,deepseek-chat,,
166,igp,True,W2990225380,102,10.1016/j.gsd.2019.100307,Potential groundwater recharge in north-western India vs spaceborne GRACE gravity anomaly based monsoonal groundwater storage change for evaluation of groundwater potential and sustainability,R. S. Chatterjee,2019,Groundwater for Sustainable Development,39,no,uses-published-TWS,GRACE,downstream-use,unclear,unclear,destriping filter and Gaussian filter,60,Peltier_ICE5G_VM2,unclear,unclear,unclear,unclear,severe groundwater depletion in north-western India,NW India; Upper Ganga drainage basin; Yamuna drainage basin; Chambal drainage basin; Luni-Ghaggar drainage basin; Narmada drainage basin,3,3,deepseek-chat,,
167,igp,True,W3108422573,14,10.1029/2020jd033566,Strong Influence of Changes in Terrestrial Water Storage on Flood Potential in India,Deep Shah,2020,Journal of Geophysical Research Atmospheres,38,no,uses-mascon-product,GRACE,mascon,CSR,RL06,mascon,unclear,unclear,unclear,unclear,unclear,unclear,TWS declined at −0.63 cm yr−1 during 2002–2016 in the Indian subcontinent,Indian subcontinent; Ganga; Brahmaputra; Indus; Brahmani; Subernarekha; Godavari; Mahi; Tapi; Narmada; Krishna; Northeast Coast; West Coast; Cauvery; East Coast; Mahanadi; Sabarmati; South Coast,3,2,deepseek-chat,,
168,igp,True,W3157601298,27,10.1021/acsestengg.0c00238,Deep Learning-Based Forecasting of Groundwater Level Trends in India: Implications for Crop Production and Drinking Water Supply,Pragnaditya Malakar,2021,ACS ES&T Engineering,37,no,uses-published-TWS,GRACE,downstream-use,JPL,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,higher declining trends will potentially be observed in parts of north-central and south India,India,1,1,deepseek-chat,,
169,igp,True,W4400651583,18,10.1029/2023wr035882,Downscaled‐GRACE Data Reveal Anthropogenic and Climate‐Induced Water Storage Decline Across the Indus Basin,Arfan Arshad,2024,Water Resources Research,36,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR,RL06,mascon,unclear,ICE6G-D,unclear,unclear,unclear,unclear,"TWS and GWS decline rate between 2002 and 2023: Dehli Doab (−442, −585 mm/year), BIST Doab (−367, −556 mm/year), Rajasthan (−242, −381 mm/year), and BARI (−188, −333 mm/year)",Indus Basin; Dehli Doab; BIST Doab; Rajasthan; BARI Doab; Yogo; Gilgit; Khurmong; Kabul; JECH Doab; RECHNA Doab; Sindh Sagar Doab; Sindh Sagar (Upper); LIB; Jhelum; Satluj; Shigar; Indus; Hunza and Gilgit; Ravi; Chenab; Western Dry Mountains,4,4,deepseek-chat,,
